vendor,product_area,release_date,title,description,source_url,source_type,topic_category,is_breaking_change,confidence
Google,Gemini API,2026-05-05,"UpdatedFile Searchto support multimodal search. You can now natively
embed and search through images using thegemini-emb","UpdatedFile Searchto support multimodal search. You can now natively
embed and search through images using thegemini-embedding-2model.
Grounding metadata now includesmedia_idfor visual citations andpage_numbersthat indicate where information is found. To learn
more, see theFile Searchguide.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-05-04,Claude Code 2.1.128,"Bare /color (no args) now picks a random session color /mcp now shows the tool count for connected servers and flags servers that connected with 0 tools --plugin-dir now accepts .zip plugin archives in addition to directories --channels now works with console (API key) authentication — console orgs with managed settings must set channelsEnabled: true to enable Updated /model picker: collapsed duplicate Opus 4.7 entries, and current Opus now shows as “Opus” instead of “Opus 4.7” Subprocesses (Bas",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Google,Gemini API,2026-05-04,"Launched event-drivenWebhookssupport in the
Gemini API to replace polling workflows for the Batch API and long-running
o","Launched event-drivenWebhookssupport in the
Gemini API to replace polling workflows for the Batch API and long-running
operations.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-05-01,Claude Code 2.1.126,"The /model picker now lists models from your gateway’s /v1/models endpoint when ANTHROPIC_BASE_URL points at an Anthropic-compatible gateway Added claude project purge [path] to delete all Claude Code state for a project (transcripts, tasks, file history, config entry) — supports --dry-run , -y/--yes , -i/--interactive , and --all --dangerously-skip-permissions now bypasses prompts for writes to .claude/ , .git/ , .vscode/ , shell config files, and other previously-protected paths (catastrophic ",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Google,Gemini API,2026-04-30,Thegemini-robotics-er-1.5-previewmodel has beenshut down. Usegemini-robotics-er-1.6-previewinstead.,Thegemini-robotics-er-1.5-previewmodel has beenshut down. Usegemini-robotics-er-1.6-previewinstead.,https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-29,Claude Code 2.1.123,Fixed OAuth authentication failing with a 401 retry loop when CLAUDE_CODE_DISABLE_EXPERIMENTAL_BETAS=1 is set,https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Anthropic,Claude Code,2026-04-28,Claude Code 2.1.122,"Added ANTHROPIC_BEDROCK_SERVICE_TIER environment variable to select a Bedrock service tier ( default , flex , or priority ), sent as the X-Amzn-Bedrock-Service-Tier header Pasting a PR URL into the /resume search box now finds the session that created that PR (GitHub, GitHub Enterprise, GitLab, and Bitbucket) /mcp now shows claude.ai connectors hidden by a manually-added server with the same URL, with a hint to remove the duplicate Clarified the /mcp message shown when an MCP server is still una",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-28,Claude Code 2.1.121,"Added alwaysLoad option to MCP server config — when true , all tools from that server skip tool-search deferral and are always available Added claude plugin prune to remove orphaned auto-installed plugin dependencies; plugin uninstall --prune cascades Added a type-to-filter search box to /skills so you can find a skill in long lists without scrolling PostToolUse hooks can now replace tool output for all tools via hookSpecificOutput.updatedToolOutput (previously MCP-only) Fullscreen mode: typing ",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-28,Claude Code 2.1.120,"Windows: Git for Windows (Git Bash) is no longer required — when absent, Claude Code uses PowerShell as the shell tool Added claude ultrareview [target] subcommand to run /ultrareview non-interactively from CI or scripts — prints findings to stdout ( --json for raw output) and exits 0 on completion or 1 on failure Skills can now reference the current effort level with ${CLAUDE_EFFORT} in their content Set AI_AGENT environment variable for subprocesses so gh can attribute traffic to Claude Code S",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-23,Claude Code 2.1.119,"/config settings (theme, editor mode, verbose, etc.) now persist to ~/.claude/settings.json and participate in project/local/policy override precedence Added prUrlTemplate setting to point the footer PR badge at a custom code-review URL instead of github.com Added CLAUDE_CODE_HIDE_CWD environment variable to hide the working directory in the startup logo --from-pr now accepts GitLab merge-request, Bitbucket pull-request, and GitHub Enterprise PR URLs --print mode now honors the agent’s tools: an",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-23,Claude Code 2.1.118,"Added vim visual mode ( v ) and visual-line mode ( V ) with selection, operators, and visual feedback Merged /cost and /stats into /usage — both remain as typing shortcuts that open the relevant tab Create and switch between named custom themes from /theme , or hand-edit JSON files in ~/.claude/themes/ ; plugins can also ship themes via a themes/ directory Hooks can now invoke MCP tools directly via type: ""mcp_tool"" Added DISABLE_UPDATES env var to completely block all update paths including man",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-22,Claude Code 2.1.117,"Forked subagents can now be enabled on external builds by setting CLAUDE_CODE_FORK_SUBAGENT=1 Agent frontmatter mcpServers are now loaded for main-thread agent sessions via --agent Improved /model : selections now persist across restarts even when the project pins a different model, and the startup header shows when the active model comes from a project or managed-settings pin The /resume command now offers to summarize stale, large sessions before re-reading them, matching the existing --resume",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Google,Gemini API,2026-04-22,"Releasedgemini-embedding-2as generally available
(GA). To learn more, see theEmbeddingspage.","Releasedgemini-embedding-2as generally available
(GA). To learn more, see theEmbeddingspage.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Google,Gemini API,2026-04-21,"Released new versions of theDeep Researchagent with collaborative planning, visualization support, MCP server
integratio","Released new versions of theDeep Researchagent with collaborative planning, visualization support, MCP server
integration, and File Search:deep-research-preview-04-2026: Designed for
speed and efficiency, ideal to be streamed back to a client UI.deep-research-max-preview-04-2026: Maximum
comprehensiveness for automated context gathering and synthesis.",https://ai.google.dev/gemini-api/docs/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-20,Claude Code 2.1.116,"/resume on large sessions is significantly faster (up to 67% on 40MB+ sessions) and handles sessions with many dead-fork entries more efficiently Faster MCP startup when multiple stdio servers are configured; resources/templates/list is now deferred to first @ -mention Smoother fullscreen scrolling in VS Code, Cursor, and Windsurf terminals — /terminal-setup now configures the editor’s scroll sensitivity Thinking spinner now shows progress inline (“still thinking”, “thinking more”, “almost done ",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-18,Claude Code 2.1.114,Fixed a crash in the permission dialog when an agent teams teammate requested tool permission,https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude,2026-04-17,Claude Design by Anthropic Labs,"With Opus 4.7, we also launched Claude Design, a newAnthropic Labsproduct that lets you collaborate with Claude to create visual outputs like designs, prototypes, slides, and one-pagers. For more information, seeGet started with Claude Design.",https://support.claude.com/en/articles/12138966-release-notes,release_notes,model release,False,high
Anthropic,Claude Code,2026-04-17,Claude Code 2.1.113,"Changed the CLI to spawn a native Claude Code binary (via a per-platform optional dependency) instead of bundled JavaScript Added sandbox.network.deniedDomains setting to block specific domains even when a broader allowedDomains wildcard would otherwise permit them Fullscreen mode: Shift+↑/↓ now scrolls the viewport when extending a selection past the visible edge Ctrl+A and Ctrl+E now move to the start/end of the current logical line in multiline input, matching readline behavior Windows: Ctrl+",https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Anthropic,Claude,2026-04-16,Claude Opus 4.7 launch,"Our latest model, Claude Opus 4.7, is now generally available. Opus 4.7 shows improvements in software engineering and complex, long-running coding tasks, as well as better vision, allowing it to see images in higher resolution. For more information, see our blog post:Introducing Claude Opus 4.7.",https://support.claude.com/en/articles/12138966-release-notes,release_notes,model release,False,high
Anthropic,Claude Code,2026-04-16,Claude Code 2.1.112,Fixed “claude-opus-4-7 is temporarily unavailable” for auto mode,https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-16,Claude Code 2.1.111,"Claude Opus 4.7 xhigh is now available! Use /effort to tune speed vs. intelligence Auto mode is now available for Max subscribers when using Opus 4.7 Added xhigh effort level for Opus 4.7, sitting between high and max . Available via /effort , --effort , and the model picker; other models fall back to high /effort now opens an interactive slider when called without arguments, with arrow-key navigation between levels and Enter to confirm Added “Auto (match terminal)” theme option that matches you",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-15,Claude Code 2.1.110,Added /tui command and tui setting — run /tui fullscreen to switch to flicker-free rendering in the same conversation Added push notification tool — Claude can send mobile push notifications when Remote Control and “Push when Claude decides” config are enabled Changed Ctrl+O to toggle between normal and verbose transcript only; focus view is now toggled separately with the new /focus command Added autoScrollEnabled config to disable conversation auto-scroll in fullscreen mode Added option to sho,https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Anthropic,Claude Code,2026-04-15,Claude Code 2.1.109,Improved the extended-thinking indicator with a rotating progress hint,https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Google,Gemini API,2026-04-15,"LaunchedGemini 3.1 Flash TTS Preview, our cost-efficient,
expressive, and steerable text to speech model. Read theText-t","LaunchedGemini 3.1 Flash TTS Preview, our cost-efficient,
expressive, and steerable text to speech model. Read theText-to-Speechdocs to learn more.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-14,Claude Code 2.1.108,"Added ENABLE_PROMPT_CACHING_1H env var to opt into 1-hour prompt cache TTL on API key, Bedrock, Vertex, and Foundry ( ENABLE_PROMPT_CACHING_1H_BEDROCK is deprecated but still honored), and FORCE_PROMPT_CACHING_5M to force 5-minute TTL Added recap feature to provide context when returning to a session, configurable in /config and manually invocable with /recap ; force with CLAUDE_CODE_ENABLE_AWAY_SUMMARY if telemetry disabled. The model can now discover and invoke built-in slash commands like /in",https://code.claude.com/docs/en/changelog,changelog,deprecation,True,high
Anthropic,Claude Code,2026-04-14,Claude Code 2.1.107,Show thinking hints sooner during long operations,https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Google,Gemini API,2026-04-14,"Releasedgemini-robotics-er-1.6-preview, our updated robotics model.
It now has new capabilities like instrument reading,","Releasedgemini-robotics-er-1.6-preview, our updated robotics model.
It now has new capabilities like instrument reading, improved spatial and
physical reasoning capabilities. To learn more, seeGemini Robotics-ERpage and theblog.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Google,Gemini API,2026-04-14,"Deprecation announcement: Thegemini-robotics-er-1.5-previewmodel
will beshut downon April 30, 2026 at 9AM
PST.","Deprecation announcement: Thegemini-robotics-er-1.5-previewmodel
will beshut downon April 30, 2026 at 9AM
PST.",https://ai.google.dev/gemini-api/docs/changelog,changelog,deprecation,True,high
Anthropic,Claude Code,2026-04-13,Claude Code 2.1.105,"Added path parameter to the EnterWorktree tool to switch into an existing worktree of the current repository Added PreCompact hook support: hooks can now block compaction by exiting with code 2 or returning {""decision"":""block""} Added background monitor support for plugins via a top-level monitors manifest key that auto-arms at session start or on skill invoke /proactive is now an alias for /loop Improved stalled API stream handling: streams now abort after 5 minutes of no data and retry non-stre",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-10,Claude Code 2.1.101,"Added /team-onboarding command to generate a teammate ramp-up guide from your local Claude Code usage Added OS CA certificate store trust by default, so enterprise TLS proxies work without extra setup (set CLAUDE_CODE_CERT_STORE=bundled to use only bundled CAs) /ultraplan and other remote-session features now auto-create a default cloud environment instead of requiring web setup first Improved brief mode to retry once when Claude responds with plain text instead of a structured message Improved ",https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Anthropic,Claude,2026-04-09,Claude Cowork generally available,"Claude Cowork is now generally available on macOS and Windows through the Claude Desktop app. With this, we’re expanding Claude Cowork with new capabilities:
- Claude Cowork in the Analytics API.For more information, seeClaude Enterprise Analytics API: Access engagement and adoption data.
- Usage analytics for Claude Cowork.For more information, seeView usage analytics for Team and Enterprise plans.
- Claude Cowork OpenTelemetry support.For more information, seeMonitor Claude Cowork activity wit",https://support.claude.com/en/articles/12138966-release-notes,release_notes,model release,False,high
Anthropic,Claude Code,2026-04-09,Claude Code 2.1.98,"Added interactive Google Vertex AI setup wizard accessible from the login screen when selecting “3rd-party platform”, guiding you through GCP authentication, project and region configuration, credential verification, and model pinning Added CLAUDE_CODE_PERFORCE_MODE env var: when set, Edit/Write/NotebookEdit fail on read-only files with a p4 edit hint instead of silently overwriting them Added Monitor tool for streaming events from background scripts Added subprocess sandboxing with PID namespac",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-08,Claude Code 2.1.97,"Added focus view toggle ( Ctrl+O ) in NO_FLICKER mode showing prompt, one-line tool summary with edit diffstats, and final response Added refreshInterval status line setting to re-run the status line command every N seconds Added workspace.git_worktree to the status line JSON input, set when the current directory is inside a linked git worktree Added ● N running indicator in /agents next to agent types with live subagent instances Added syntax highlighting for Cedar policy files ( .cedar , .ceda",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-08,Claude Code 2.1.96,"Fixed Bedrock requests failing with 403 ""Authorization header is missing"" when using AWS_BEARER_TOKEN_BEDROCK or CLAUDE_CODE_SKIP_BEDROCK_AUTH (regression in 2.1.94)",https://code.claude.com/docs/en/changelog,changelog,coding,False,high
Anthropic,Claude Code,2026-04-07,Claude Code 2.1.94,"Added support for Amazon Bedrock powered by Mantle, set CLAUDE_CODE_USE_MANTLE=1 Changed default effort level from medium to high for API-key, Bedrock/Vertex/Foundry, Team, and Enterprise users (control this with /effort ) Added compact Slacked #channel header with a clickable channel link for Slack MCP send-message tool calls Added keep-coding-instructions frontmatter field support for plugin output styles Added hookSpecificOutput.sessionTitle to UserPromptSubmit hooks for setting the session t",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-04,Claude Code 2.1.92,"Added forceRemoteSettingsRefresh policy setting: when set, the CLI blocks startup until remote managed settings are freshly fetched, and exits if the fetch fails (fail-closed) Added interactive Bedrock setup wizard accessible from the login screen when selecting “3rd-party platform” — guides you through AWS authentication, region configuration, credential verification, and model pinning Added per-model and cache-hit breakdown to /cost for subscription users /release-notes is now an interactive v",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-02,Claude Code 2.1.91,"Added MCP tool result persistence override via _meta[""anthropic/maxResultSizeChars""] annotation (up to 500K), allowing larger results like DB schemas to pass through without truncation Added disableSkillShellExecution setting to disable inline shell execution in skills, custom slash commands, and plugin commands Added support for multi-line prompts in claude-cli://open?q= deep links (encoded newlines %0A no longer rejected) Plugins can now ship executables under bin/ and invoke them as bare comm",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Google,Gemini API,2026-04-02,"Releasedgemma-4-26b-a4b-itandgemma-4-31b-it, available onAI Studioand through the Gemini API,
as part of theGemma 4launc","Releasedgemma-4-26b-a4b-itandgemma-4-31b-it, available onAI Studioand through the Gemini API,
as part of theGemma 4launch.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-04-01,Claude Code 2.1.90,"Added /powerup — interactive lessons teaching Claude Code features with animated demos Added CLAUDE_CODE_PLUGIN_KEEP_MARKETPLACE_ON_FAILURE env var to keep the existing marketplace cache when git pull fails, useful in offline environments Added .husky to protected directories (acceptEdits mode) Fixed an infinite loop where the rate-limit options dialog would repeatedly auto-open after hitting your usage limit, eventually crashing the session Fixed --resume causing a full prompt-cache miss on the",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-04-01,Claude Code 2.1.89,"Added ""defer"" permission decision to PreToolUse hooks — headless sessions can pause at a tool call and resume with -p --resume to have the hook re-evaluate Added CLAUDE_CODE_NO_FLICKER=1 environment variable to opt into flicker-free alt-screen rendering with virtualized scrollback Added PermissionDenied hook that fires after auto mode classifier denials — return {retry: true} to tell the model it can retry Added named subagents to @ mention typeahead suggestions Added MCP_CONNECTION_NONBLOCKING=",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Google,Gemini API,2026-04-01,"Introduced the newFlexandPriorityinference tiers, offering more options
for optimizing cost or latency.","Introduced the newFlexandPriorityinference tiers, offering more options
for optimizing cost or latency.",https://ai.google.dev/gemini-api/docs/changelog,changelog,pricing/billing,False,high
Google,Gemini API,2026-03-31,"Launched Veo 3.1 Lite Preview,veo-3.1-lite-generate-preview, our most
cost-efficientvideo generationmodel, designed
for ","Launched Veo 3.1 Lite Preview,veo-3.1-lite-generate-preview, our most
cost-efficientvideo generationmodel, designed
for rapid iteration and building high-volume applications.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Google,Gemini API,2026-03-31,Thegemini-2.5-flash-lite-preview-09-2025model has been shut down. Usegemini-3.1-flash-lite-previewinstead.,Thegemini-2.5-flash-lite-preview-09-2025model has been shut down. Usegemini-3.1-flash-lite-previewinstead.,https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude Code,2026-03-29,Claude Code 2.1.87,Fixed messages in Cowork Dispatch not getting delivered,https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-03-27,Claude Code 2.1.86,"Added X-Claude-Code-Session-Id header to API requests so proxies can aggregate requests by session without parsing the body Added .jj and .sl to VCS directory exclusion lists so Grep and file autocomplete don’t descend into Jujutsu or Sapling metadata Fixed --resume failing with “tool_use ids were found without tool_result blocks” on sessions created before v2.1.85 Fixed Write/Edit/Read failing on files outside the project root (e.g., ~/.claude/CLAUDE.md ) when conditional skills or rules are co",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-03-26,Claude Code 2.1.85,"Added CLAUDE_CODE_MCP_SERVER_NAME and CLAUDE_CODE_MCP_SERVER_URL environment variables to MCP headersHelper scripts, allowing one helper to serve multiple servers Added conditional if field for hooks using permission rule syntax (e.g., Bash(git *) ) to filter when they run, reducing process spawning overhead Added timestamp markers in transcripts when scheduled tasks ( /loop , CronCreate ) fire Added trailing space after [Image #N] placeholder when pasting images Deep link queries ( claude-cli:/",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,False,high
Anthropic,Claude Code,2026-03-26,Claude Code 2.1.84,"Added PowerShell tool for Windows as an opt-in preview. Learn more at https://code.claude.com/docs/en/tools-reference#powershell-tool Added ANTHROPIC_DEFAULT_{OPUS,SONNET,HAIKU}_MODEL_SUPPORTS env vars to override effort/thinking capability detection for pinned default models for 3p (Bedrock, Vertex, Foundry), and _MODEL_NAME / _DESCRIPTION to customize the /model picker label Added CLAUDE_STREAM_IDLE_TIMEOUT_MS env var to configure the streaming idle watchdog threshold (default 90s) Added TaskC",https://code.claude.com/docs/en/changelog,changelog,model release,False,high
Google,Gemini API,2026-03-26,"Releasedgemini-3.1-flash-live-preview, the latest
audio-to-audio (A2A) model designed for real-time dialogue and voice-f","Releasedgemini-3.1-flash-live-preview, the latest
audio-to-audio (A2A) model designed for real-time dialogue and voice-first
AI applications. Read theLive APIdocs to get
started.",https://ai.google.dev/gemini-api/docs/changelog,changelog,model release,False,high
Anthropic,Claude,2026-03-25,Interactive apps in Claude for iOS and Android,"The Claude mobile app can now connect to fully interactive apps. Pull up live charts, sketch diagrams, and build shareable assets, all rendered visually right in your conversation. For more information, seeUse interactive connectors in Claude.",https://support.claude.com/en/articles/12138966-release-notes,release_notes,other,False,high
